"","Name","URL","npcurl","locale","highdeg","control","Admission Rate","Size of School","Degree Type","ugds_men","ugds_women","preddeg","Enrollment","satvrmid","satmtmid","longitude","latitude","Average Debt","satwrmid","State","c150_l4","City","Tuition","Region","Sourrounding area"
"2764","California State University-Dominguez Hills","www.csudh.edu","www.csumentor.edu/finaid/pais/",13,4,1,0.5314,"Large","Bachelor Degree",0.3537,0.6463,3,12584,415,420,-118.259316,33.86524,14921,NA,"CA",NA,"Carson",13349,"West","Urban"
"2765","University of California-Irvine","www.uci.edu/","www.ofas.uci.edu/content/Calculator.aspx",12,4,1,0.4746,"Large","Bachelor Degree",0.4575,0.5425,3,25245,550,610,-117.841248,33.648434,16500,565,"CA",NA,"Irvine",30796,"West","Urban"
"2766","University of California-Los Angeles","www.ucla.edu/","https://app.financialaid.ucla.edu/FASEstimator/",11,4,1,0.2711,"Large","Bachelor Degree",0.4516,0.5484,3,29581,625,675,-118.443901,34.068892,15000,650,"CA",NA,"Los Angeles",32594,"West","Urban"
"2767","Le Cordon Bleu College of Culinary Arts-San Francisco","www.caculinary.edu","chefs.studentaidcalculator.com",11,2,3,NA,"Small","Certificate Degree",0.5223,0.4777,1,378,NA,NA,-122.402643,37.765415,11250,NA,"CA",0.552,"San Francisco",21272,"West","Urban"
"2768","Troy University","www.troy.edu","www.troy.edu/admissions/net-price-calculator.html",41,4,1,0.6229,"Large","Bachelor Degree",0.3738,0.6262,3,14065,NA,NA,-85.950191,31.800128,21500,NA,"AL",NA,"Troy",17898,"Southeast","Rural"
"2769","University of Alaska Anchorage","www.uaa.alaska.edu","www.uaa.alaska.edu/financialaid/customcf/npcalc.htm",11,4,1,NA,"Large","Bachelor Degree",0.4183,0.5817,3,12348,NA,NA,-149.826135,61.189554,16321,NA,"AK",NA,"Anchorage",14476,"West","Urban"
"2770","Jefferson State Community College","www.jeffstateonline.com","www.jeffersonstate.edu/financial-aid/net-price-calculator/",12,2,1,NA,"Large","Associate Degree",0.3928,0.6072,2,7381,NA,NA,-86.707387,33.652439,8000,NA,"AL",0.1152,"Birmingham",13311,"Southeast","Urban"
"2771","South University-Montgomery","www.southuniversity.edu/montgomery#location=Montgomery,%20AL","tcc.noellevitz.com/edmc/South Net Price Calculator",12,4,3,0.7397,"Small","Bachelor Degree",0.2557,0.7443,3,460,NA,NA,-86.216488,32.342684,25943.5,NA,"AL",NA,"Montgomery",27628,"Southeast","Urban"
"2772","University of North Alabama","www.una.edu","studentnpc.collegeboard.org/",13,4,1,0.8847,"Mid-sized","Bachelor Degree",0.4236,0.5764,3,5698,493,488,-87.680999,34.80658,19322.5,NA,"AL",NA,"Florence",16135,"Southeast","Urban"
"2773","Northwest-Shoals Community College","www.nwscc.edu","nwscc.edu/financialaid/netpricecalculator/npcalc.htm",13,2,1,NA,"Mid-sized","Associate Degree",0.4191,0.5809,2,3047,NA,NA,-87.67733,34.739567,8500,NA,"AL",0.1121,"Muscle Shoals",11060,"Southeast","Urban"
"2774","Faulkner University","www.faulkner.edu","www.faulkner.edu/net-price-calculator-form/",12,4,2,NA,"Mid-sized","Bachelor Degree",0.371,0.629,3,2282,NA,NA,-86.21641,32.384181,20246.5,NA,"AL",NA,"Montgomery",30539,"Southeast","Urban"
"2775","Spring Hill College","www.shc.edu","https://shc.studentaidcalculator.com/survey.aspx",12,4,2,0.4743,"Small","Bachelor Degree",0.3888,0.6112,3,1347,550,542,-88.138199,30.694751,27000,537,"AL",NA,"Mobile",45489,"Southeast","Urban"
"2776","Arkansas State University-Beebe","www.asub.edu","www.asub.edu/assets/npcalc/npcalc.htm",31,2,1,NA,"Mid-sized","Certificate Degree",0.3946,0.6054,1,2889,NA,NA,-91.896165,35.074512,5500,NA,"AR",0.3541,"Beebe",12460,"Southeast","Suburban"
"2777","Grand Canyon University","www.gcu.edu","https://www.gcu.edu/admissions/tuition-and-financing.php",11,4,3,0.3237,"Large","Bachelor Degree",0.2426,0.7574,3,42444,NA,NA,-112.129917,33.512172,18750,NA,"AZ",NA,"Phoenix",31131,"Southwest","Urban"
"2778","Arizona Western College","www.azwestern.edu","schedule.azwestern.edu/npcalc/npcalc.html",13,2,1,NA,"Large","Certificate Degree",0.427,0.573,1,6608,NA,NA,-114.495968,32.689306,5600,NA,"AZ",0.1652,"Yuma",14398,"Southwest","Urban"
"2779","ITT Technical Institute-Tempe","www.itt-tech.edu","www.itt-tech.edu/npc",12,3,3,0.9171,"Small","Associate Degree",0.8035,0.1965,2,379,NA,NA,-111.969169,33.380355,18666,NA,"AZ",NA,"Tempe",27463,"Southwest","Urban"
"2780","Yavapai College","www.YC.EDU","www.yc.edu/webtools/forms/netpricecalc/",13,2,1,NA,"Mid-sized","Certificate Degree",0.419,0.581,1,5112,NA,NA,-112.454156,34.547512,9500,NA,"AZ",0.1609,"Prescott",10902,"Southwest","Urban"
"2781","Western International University","www.west.edu","www.west.edu/calc/npcalc.htm",12,4,3,NA,"Small","Bachelor Degree",0.3518,0.6482,3,914,NA,NA,-111.964182,33.403625,29984,NA,"AZ",NA,"Tempe",17637,"Southwest","Urban"
"2782","South Mountain Community College","www.southmountaincc.edu","www.southmountaincc.edu/disclosures/",11,2,1,NA,"Mid-sized","Associate Degree",0.3895,0.6105,2,3416,NA,NA,-112.057515,33.381001,NA,NA,"AZ",0.1667,"Phoenix",11710,"Southwest","Urban"
"2783","Arkansas Tech University","www.atu.edu","www.atu.edu/finaid/npcalc.htm",33,4,1,0.88,"Large","Bachelor Degree",0.4402,0.5598,3,8799,505,515,-93.13233,35.295227,15740,NA,"AR",NA,"Russellville",17260,"Southeast","Rural"
"2784","California Polytechnic State University-San Luis Obispo","calpoly.edu","www.csumentor.edu/finaid/pais/",23,4,1,0.374,"Large","Bachelor Degree",0.5521,0.4479,3,19972,595,635,-120.65856,35.29889,18500,NA,"CA",NA,"San Luis Obispo",24580,"West","Suburban"
"2785","Shorter College","www.shortercollege.edu","www.shortercollege.edu",13,2,2,NA,"Small","Associate Degree",0.4038,0.5962,2,236,NA,NA,-92.261331,34.75933,NA,NA,"AR",NA,"N Little Rock",20759,"Southeast","Urban"
"2786","Southern Arkansas University Main Campus","https://www.saumag.edu","https://www.saumag.edu/netprice/",33,4,1,0.6458,"Mid-sized","Bachelor Degree",0.4208,0.5792,3,2859,455,495,-93.235087,33.291195,14995,NA,"AR",NA,"Magnolia",19970,"Southeast","Rural"
"2787","ITT Technical Institute-Rancho Cordova","www.itt-tech.edu","www.itt-tech.edu/npc",13,3,3,0.5683,"Small","Associate Degree",0.7903,0.2097,2,415,NA,NA,-121.281506,38.59172,18666,NA,"CA",NA,"Rancho Cordova",28541,"West","Urban"
"2788","Biola University","www.biola.edu","undergrad.biola.edu/finaid/#net-price",21,4,2,0.7466,"Mid-sized","Bachelor Degree",0.3842,0.6158,3,4219,560,555,-118.017342,33.904823,22537.5,550,"CA",NA,"La Mirada",47468,"West","Suburban"
"2789","Northwest Technical Institute","www.nwti.edu","nwti.edu/netprice/npcalc.htm",13,1,1,NA,"Small","Certificate Degree",0.6145,0.3855,1,186,NA,NA,-94.116433,36.178617,NA,NA,"AR",0.4753,"Springdale",11731,"Southeast","Urban"
"2790","Ouachita Baptist University","www.obu.edu","www.obu.edu/finaid/",32,3,2,0.691,"Small","Bachelor Degree",0.4637,0.5363,3,1471,530,515,-93.052442,34.125045,19500,NA,"AR",NA,"Arkadelphia",33675,"Southeast","Suburban"
"2791","Barstow Community College","www.barstow.edu","https://webprod.cccco.edu/npc/911/npcalc.htm",32,2,1,NA,"Mid-sized","Associate Degree",0.3757,0.6243,2,2782,NA,NA,-117.02523,34.871451,NA,NA,"CA",0.106,"Barstow",14776,"West","Suburban"
"2792","Alliant International University-San Diego","www.alliant.edu","https://www.alliant.edu/net-price-calc/",11,4,3,0.4444,"Small","Certificate Degree",0.3857,0.6143,1,342,NA,NA,-117.094398,32.897056,2000,NA,"CA",NA,"San Diego",29341,"West","Urban"
"2793","Rich Mountain Community College","www.rmcc.edu","www.rmcc.edu",33,2,1,NA,"Small","Certificate Degree",0.3528,0.6472,1,501,NA,NA,-94.2197,34.590793,NA,NA,"AR",0.1489,"Mena",11423,"Southeast","Rural"
"2794","University of Mobile","www.umobile.edu","tcc.noellevitz.com/(S(i2ma5wzihnqpsazmq43fszpq))/University%20of%20Mobile/Freshman-Students",41,4,2,0.8035,"Small","Bachelor Degree",0.3152,0.6848,3,1437,523,580,-88.128934,30.793247,26879.5,NA,"AL",NA,"Mobile",32349,"Southeast","Rural"
"2795","Trinity College of Puerto Rico","www.trinitypr.edu","www.trinitypr.edu",12,2,2,NA,"Small","Certificate Degree",0.1971,0.8029,1,78,NA,NA,-66.614885,17.994411,NA,NA,"PR",0.5094,"Ponce",10921,"Other","Urban"
